SPN3402	ERR052325	PAIRED
SPN4683	ERR271793	PAIRED
SPN22809	ERR052456	PAIRED
SPN2906	ERR052331	PAIRED
LMG1250	ERR052038	PAIRED
LMG869	ERR052023	PAIRED
LMG867	ERR051930	PAIRED
LMG1435	ERR052043	PAIRED
S-044	ERR051898	PAIRED
S-112	ERR051900	PAIRED
SPN8332	ERR271792	PAIRED
LMG690	ERR051921	PAIRED
SN26575	ERR052511	PAIRED
SPN13522	ERR052440	PAIRED
SPN13151	ERR052439	PAIRED
SPN13633	ERR052441	PAIRED
SN33007	ERR055616	PAIRED
SPN4488	ERR052465	PAIRED
SN34677	ERR055617	PAIRED
SPN22664	ERR052452	PAIRED
SPN4901	ERR052467	PAIRED
SPN4876	ERR052466	PAIRED
SPN4000	ERR052464	PAIRED
0111+21110	ERR107537	PAIRED
0412+17021	ERR107563	PAIRED
spnIC6	ERR028599	PAIRED
9701+10122	ERR107494	PAIRED
0105+29173	ERR107533	PAIRED
9901+13020	ERR107512	PAIRED
0108+03050	ERR107535	PAIRED
spnIC176	ERR028755	PAIRED
spnIC192	ERR028748	PAIRED
spnIC187	ERR028757	PAIRED
9605+07141	ERR107487	PAIRED
9608+02116	ERR107490	PAIRED
0106+11154	ERR107534	PAIRED
9909+21117	ERR107518	PAIRED
spnIC463	ERR028771	PAIRED
0207+15090	ERR107543	PAIRED
9612+28032	ERR107493	PAIRED
0211+13275	ERR107546	PAIRED
spnIC55	ERR028742	PAIRED
0506+29167	ERR107568	PAIRED
9609+24019	ERR107491	PAIRED
9707+14101	ERR107499	PAIRED
9812+11187	ERR107511	PAIRED
0407+30157	ERR107561	PAIRED
0202+01134	ERR107539	PAIRED
0502+25231	ERR107565	PAIRED
9602+15128	ERR107485	PAIRED
0501+31089	ERR107564	PAIRED
9706+10167	ERR107498	PAIRED
spnIC43	ERR028737	PAIRED
spnIC58	ERR028740	PAIRED
spnIC41	ERR028594	PAIRED
spnIC54	ERR028743	PAIRED
9711+04135	ERR107501	PAIRED
0509+09128	ERR107571	PAIRED
9807+09096	ERR107507	PAIRED
spnIC116	ERR028592	PAIRED
0012+25031	ERR107530	PAIRED
0203+19212	ERR107540	PAIRED
0107+17127	ERR107572	PAIRED
0102+01171	ERR107532	PAIRED
0101+26271	ERR107531	PAIRED
9712+30001	ERR107502	PAIRED
spnIC52	ERR028744	PAIRED
spnIC59	ERR028739	PAIRED
spnIC51	ERR028745	PAIRED
spnIC42	ERR028590	PAIRED
spnIC10	ERR028598	PAIRED
spnIC48	ERR028736	PAIRED
spnIC49	ERR028735	PAIRED
spnIC57	ERR028741	PAIRED
spnIC38	ERR028595	PAIRED
spnIC19	ERR028597	PAIRED
spnIC2	ERR028600	PAIRED
spnIC28	ERR028596	PAIRED
spnIC104	ERR028591	PAIRED
spnIC210	ERR028764	PAIRED
spnIC174	ERR028754	PAIRED
spnIC178	ERR028756	PAIRED
spnIC197	ERR028750	PAIRED
spnIC195	ERR028749	PAIRED
spnIC190	ERR028758	PAIRED
spnIC203	ERR028760	PAIRED
spnIC434	ERR028770	PAIRED
spnIC432	ERR028769	PAIRED
spnIC426	ERR028768	PAIRED
spnIC425	ERR028767	PAIRED
spnIC419	ERR028766	PAIRED
spnIC139	ERR028747	PAIRED
spnIC161	ERR028753	PAIRED
spnIC100	ERR028601	PAIRED
0003+13150	ERR107523	PAIRED
9905+21046	ERR107514	PAIRED
9702+03174	ERR107495	PAIRED
9511+06158	ERR107482	PAIRED
9912+17151	ERR107520	PAIRED
0005+24045	ERR107524	PAIRED
0503+03063	ERR107566	PAIRED
0505+04001	ERR107567	PAIRED
0507+08068	ERR107569	PAIRED
0011+09030	ERR107529	PAIRED
0409+02133	ERR107562	PAIRED
0112+27129	ERR107538	PAIRED
0303+13263	ERR107550	PAIRED
0212+05159	ERR107547	PAIRED
0302+20271	ERR107549	PAIRED
0209+24059	ERR107545	PAIRED
0508+26122	ERR107570	PAIRED
9811+05053	ERR107510	PAIRED
9808+20015	ERR107508	PAIRED
9803+09178	ERR107505	PAIRED
9708+26128	ERR107500	PAIRED
9607+10105	ERR107489	PAIRED
9908+13028	ERR107517	PAIRED
9806+08086	ERR107506	PAIRED
9809+25147	ERR107509	PAIRED
0009+01095	ERR107528	PAIRED
9801+23240	ERR107503	PAIRED
9907+14172	ERR107516	PAIRED
0206+21189	ERR107542	PAIRED
